intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
36,30,3369448587744,232,1033,1.2440001,0.049541127,1.2228216,0.22313489
100,31,3369448587744,35952,-133,1.284,-0.010754128,1.2836075,-0.02986987
19,0,3369448608480,252,-2500,2.052,0.08176943,1.8579451,-0.8672127
61,1,3369448608480,35692,-100,1.3360001,-0.07177322,1.333867,-0.023316415
51,2,3369448610784,252,-166,1.2800001,0.056255378,1.278221,-0.037235886
9,3,3369448610784,35972,-1563,3.084,-0.014513284,2.969793,-0.8313704
11,4,3369448613088,252,-1131,1.284,0.055358738,1.2578478,-0.2518146
66,5,3369448613088,35972,0,1.2880001,-0.0062943404,1.2879847,0
13,6,3369448615392,532,-66,1.3160001,0.12200883,1.3102425,-0.015319667
4,7,3369448615392,35972,-884,0,-0,0,-0
22,8,3369448617696,252,-725,1.3000001,0.056701068,1.2883478,-0.1641487
60,9,3369448617696,35692,33,1.3440001,-0.072212785,1.342036,0.007811213
43,10,3369448620000,252,-33,1.2880001,0.05662999,1.2867328,-0.0074857455
11,11,3369448620000,35972,-614,1.3240001,-0.006433056,1.3163695,-0.1417965
14,12,3369448622304,532,-533,1.292,0.11927333,1.2808661,-0.12008374
56,13,3369448622304,35972,133,1.276,-0.0062340093,1.2756394,0.029683765
18,14,3369448624608,532,66,1.3240001,0.12275053,1.3182074,0.015412795
10,15,3369448624608,35972,-400,1.3080001,-0.0063765077,1.3047984,-0.09124147
23,16,3369448626912,252,-466,1.268,0.055566724,1.2625736,-0.10317016
76,17,3369448626912,35692,166,1.34,-0.07196861,1.3374981,0.03898132
30,18,3369448629216,252,100,1.2720001,0.055918932,1.2705764,0.022199461
4,19,3369448629216,35692,-366,1.4280001,-0.07657029,1.423018,-0.09133138
20,20,3369448631520,532,-333,1.304,0.120699964,1.2961867,-0.075813286
40,21,3369448631520,35972,333,1.1960001,-0.005834858,1.1939628,0.06953428
100,22,3369448633824,252,233,1.304,0.057286903,1.3016591,0.05308229
10,23,3369448633824,35972,-266,1.3000001,-0.006346102,1.2985765,-0.060490463
14,24,3369448636128,252,-300,1.292,0.056728963,1.2889817,-0.067618065
